caldt,mret,model,year,portfolio_alpha,target_mode,long_decile,short_decile,backtest_start,backtest_end
1991-01-31,0.08089036637903765,elastic_net,1990,0.014315573430016236,alpha,0.1,0,,
1991-02-28,0.08714496670232863,elastic_net,1990,0.002225340736440623,alpha,0.1,0,,
1991-03-28,0.048593221924807764,elastic_net,1990,0.008801116075654335,alpha,0.1,0,,
1991-04-30,-0.004668915668880631,elastic_net,1990,-0.004284357599189632,alpha,0.1,0,,
1991-05-31,0.061885722638964906,elastic_net,1990,0.014961642828838134,alpha,0.1,0,,
1991-06-28,-0.05291499951427304,elastic_net,1990,-0.0039828639138836525,alpha,0.1,0,,
1991-07-31,0.05927544568157214,elastic_net,1990,0.008300897554691655,alpha,0.1,0,,
1991-08-30,0.04135646919768425,elastic_net,1990,0.009974487029508743,alpha,0.1,0,,
1991-09-30,0.003480196616947576,elastic_net,1990,0.011623947034834235,alpha,0.1,0,,
1991-10-31,0.029901717263764907,elastic_net,1990,0.009914467824885205,alpha,0.1,0,,
1991-11-29,-0.043651908837291795,elastic_net,1990,-0.0048779225526089515,alpha,0.1,0,,
1991-12-31,0.1348036553643302,elastic_net,1990,0.013012826466896901,alpha,0.1,0,,
1992-01-31,0.015468925464395277,elastic_net,1991,0.017090717975380948,alpha,0.1,0,,
1992-02-28,0.009380449875641756,elastic_net,1991,0.003969653805916953,alpha,0.1,0,,
1992-03-31,-0.04726181915735654,elastic_net,1991,-0.015621049955995586,alpha,0.1,0,,
1992-04-30,-0.0374011255261624,elastic_net,1991,-0.03584000899156991,alpha,0.1,0,,
1992-05-29,0.010774210917155904,elastic_net,1991,0.00635073988197408,alpha,0.1,0,,
1992-06-30,-0.03426380982340337,elastic_net,1991,-0.005381045383372585,alpha,0.1,0,,
1992-07-31,0.044285352266234534,elastic_net,1991,0.0010402455954608009,alpha,0.1,0,,
1992-08-31,-0.025218062343451163,elastic_net,1991,-0.006014678834123984,alpha,0.1,0,,
1992-09-30,0.03554672262645611,elastic_net,1991,0.019013132693679935,alpha,0.1,0,,
1992-10-30,0.0378891615920706,elastic_net,1991,0.01922423002486759,alpha,0.1,0,,
1992-11-30,0.05773766134939266,elastic_net,1991,0.0036391282146836235,alpha,0.1,0,,
1992-12-31,0.026926086681915828,elastic_net,1991,0.01003497290280229,alpha,0.1,0,,
1993-01-29,0.006160752275182963,elastic_net,1992,0.002159505855994912,alpha,0.1,0,,
1993-02-26,-0.051299359559600174,elastic_net,1992,-0.037185383059870694,alpha,0.1,0,,
1993-03-31,0.027283177740959758,elastic_net,1992,0.003285331622070082,alpha,0.1,0,,
1993-04-30,-0.03895914802283877,elastic_net,1992,-0.004980532402012801,alpha,0.1,0,,
1993-05-28,0.04603820088719564,elastic_net,1992,0.006608347582819835,alpha,0.1,0,,
1993-06-30,0.009757826546914955,elastic_net,1992,0.008204347259909244,alpha,0.1,0,,
